Otázka,Správná odpověď
Jednání v nutné obraně musí směřovat,"přímo proti útočníkovi, přičemž mu může vzniknout újma nejen na majetku, ale též na zdraví či dokonce na životě a případně i na jiných hodnotách chráněných trestním zákonem,"
"Pokud je útočníků více,",může nutná obrana směřovat proti kterémukoliv z nich.
Porovnejte vyobrazené vzorky a vyberte náboj do brokovnice s jednotnou střelou. Jedná se o náboj nacházející se,"vlevo na začátku řady,"
Je prostřední náboj určen pro nábojovou komoru o minimální délce 65 mm?,"Ne, náboj je určen pro nábojové komory s minimální délkou 70 mm,"
Brokovou zbraň označenou touto zkušební značkou: lze použít,"ke střelbě ocelovými broky,"
Porovnejte vyobrazené vzorky a vyberte výkonné střelivo určené původně pro střelbu z revolveru. Jedná se o vzorek nacházející se,"vpravo na konci řady,"
Porovnejte vyobrazené vzorky a vyberte střelivo typu Flobert. Jedná o vzorek nacházející se,uprostřed řady.
Porovnejte vyobrazené vzorky a vyberte střelivo ráže 45 AUTO původně určené pro samonabíjecí pistoli Colt typu M1911. Jedná o vzorek nacházející se,"vlevo na začátku řady,"
V případě vyobrazených vzorků se jedná o,"nábojky,"
V případě vyobrazeného vzorku se jedná o střelivo ráže,"22 Long Rifle,"
Porovnejte vyobrazené vzorky a určete konstrukci nábojů. Jedná se o náboje,s okrajovým zápalem.
"Porovnejte vyobrazené vzorky a vyberte střelivo ráže 223 Rem. vycházející z původně vojenského náboje 5,56 x 45 mm. Jedná se o vzorek nacházející se","nahoře na začátku sloupce,"
"Porovnejte jednotlivé obrázky a rozhodněte, zda je na nich vyobrazen náboj vycházející původně z náboje vz. 43 určeného mimo jiné i pro československý 7,62 mm samopal vz. 58.","Ano, jde o vzorek na dolním obrázku,"
V případě vyobrazeného vzorku se jedná o,celoplášťovou střelu s ogivální přední částí.
V případě vyobrazeného vzorku se jedná o,"celoplášťovou střelu s přední částí ve tvaru komolého kužele,"
"V případě vyobrazeného vzorku střely se jedná o část střeliva, která byla pravděpodobně vystřelena",z dlouhé palné zbraně s drážkovaným vývrtem hlavně.
"Porovnejte jednotlivé obrázky a rozhodněte, zda je na některém z nich pojistka zbraně přesunuta do zajištěné polohy.","V zajištěné poloze je pojistka zbraně na dolním obrázku,"
Na fotografii je palná zbraň částečně rozebraná k čištění. Jedná se o,"samonabíjecí pistoli s uzamčeným závěrem, která je rozebraná na následující součásti: závěr, hlaveň, vratnou (předsuvnou) pružinu a tělo (pouzdro zbraně),"
Zobrazená šipka označuje,vratnou (předsuvnou) pružinu.
Zobrazená šipka označuje umístění,"záchytu (zádržky) zásobníku,"
Zobrazená šipka označuje umístění,"záchytu závěru,"
Zobrazená šipka označuje umístění,podavače.
Umístění lučíku v rámci konstrukce zbraně je označeno,"písmenem A,"
Na fotografii je zobrazen pohled na spodní stranu závěru samonabíjecí pistole. Šipka označuje tzv. automatickou pojistku. Tento pojistný prvek je obvykle ovládán spoušťovým mechanismem a jeho funkcí je,"zajistit, aby úderník nemohl iniciovat náboj v nábojové komoře, aniž by byla stisknuta spoušť,"
Zobrazená šipka označuje,"kompenzátor zdvihu,"
Umístění plynového nástavce (mechanismu k odběru plynů) v rámci konstrukce zbraně je značeno,"písmenem A,"
Zobrazená šipka označuje,úderník.
Na fotografii je zobrazena střední část částečně rozebrané palné zbraně typu AR-15. Číslice „1“ a „2“ označují,"číslice „1“ označuje horní pouzdro závěru (tzv. upper receiver) a číslice „2“ označuje dolní pouzdro závěru (tzv. lower receiver). Pod horním pouzdrem závěru je položen vyjmutý závěrový mechanismus,"
"Závorník u zbraně je součást, která","uzavírá nebo uzamyká nábojovou komoru v případě zbraně se složeným závěrovým mechanismem,"
"Nosič závorníku u zbraně je součást, která","unáší při nabíjecím cyklu zbraně závorník a zajišťuje tak jeho odemčení a uzamčení,"
Zobrazený zásobník je typický pro,"čsl. 7,62 mm samopal vzor 58 a jeho verze,"
Porovnejte jednotlivé vzorky revolverů. Perkusní revolver,"je na horním obrázku,"
Funkční cyklus revolveru je obvykle založen na,"manuálním ovládání spoušťového a bicího mechanismu. Revolver je až na výjimky opakovací zbraní,"
S baskulí,"se lze setkat u druhu zbraně na dolním obrázku,"
V případě vyobrazené zbraně se jedná o zbraň,opakovací.
Zobrazená hlavní část zbraně je typická pro,"dlouhé opakovací zbraně s drážkovaným vývrtem hlavně,"
Podle České technické normy se druhy střelných zbraní z hlediska charakteru střelby dělí na,"jednoranové, opakovací, víceranové, automatické,"
Funkční cyklus opakovací kulovnice s otočným odsuvným závěrem je obvykle založen na,"manuálním ovládání odsuvného závěru obvykle prostřednictvím kliky spojené se závěrem, kdy otočením závěru dochází k jeho uzamčení. V závěru bývá typicky umístěn také přímoběžný bicí mechanismus,"
Funkční cyklus opakovací brokovnice ovládané posuvným předpažbím je obvykle založen na,"manuálním ovládání posuvného předpažbí, kterým se ovládá závěrový a nabíjecí mechanismus zbraně. Při posunu předpažbí směrem vzad dochází standardně také k natažení bicího mechanismu,"
Druhy střelných zbraní se podle způsobu držení dělí na,"dlouhé a krátké,"
"Palná zbraň, u níž se vyhození vystřelené nábojnice, opětovné nabití a napnutí bicího mechanismu děje v důsledku předchozího výstřelu, a jejíž konstrukce umožňuje střílet jednotlivé rány, je","samonabíjecí zbraň palná,"
Funkce neuzamčeného závěru samonabíjecí pistole se obvykle odvozuje od,"impulzu zpětného rázu při výstřelu (tzn. tlaku spalných plynů na dno nábojnice v nábojové komoře),"
"Funkční cyklus samonabíjecí pušky určené pro náboje středního balistického výkonu (např. 223 Remington nebo 7,62 x 39 mm) je obvykle založen na","impulzu tlaku spalných plynů, a to standardně buď prostřednictvím jejich odběru z vývrtu hlavně (v případě uzamčených závěrových mechanismů) nebo jejich tlaku na dno nábojnice (v případě bržděných nebo též polouzamčených závěrových mechanismů),"
"Palná zbraň, jejíž konstrukce umožňuje střílet dávkou nebo dávkami i jednotlivými ranami, je",samočinná zbraň.
Hlaveň je část zbraně,v níž se určitý druh energie přeměňuje v pohybovou energii střely; vodicí část vývrtu hlavně vede střelu v požadovaném směru.
"Závěr u zbraně je zařízení, které","uzavírá nebo uzamyká nábojovou komoru,"
Bicí mechanismus u palných zbraní je mechanismus,"způsobující úder na zápalku,"
Pojistka je,"součást zajišťující zbraň proti výstřelu,"
"Je-li dlouhá broková zbraň vybavena automatickou pojistkou, která zajišťuje zbraň při každém sklopení hlavně nebo hlavňového svazku, před výstřelem","je nutno ji odjistit pomocí příslušného ovládacího prvku umístěného například na hřbetě krku pažby,"
Mířidla jsou zařízení sloužící,"k zamíření zbraně,"
Vložná hlaveň je,"hlaveň menší ráže vkládaná do vývrtu hlavně větší ráže,"
Rám zbraně je,"součást revolveru, ve které jsou uloženy nebo jsou na ní upevněny ostatní součásti zbraně."
Spoušťový mechanismus palné zbraně slouží,"k ovládání bicího mechanismu,"
Palná zbraň – jednuška je,"jednohlavňová jednoranová brokovnice,"
Palná zbraň – dvojka je,"dvouhlavňová brokovnice s hlavněmi vedle sebe,"
Palná zbraň - lankasterka je,"dvojka s vnějšími kohouty,"
Palná zbraň - hamerleska je,dvojka se sklopnými hlavněmi a se skrytými kladívky.
Palná zbraň - broková kozlice je,zbraň se dvěma hlavněmi nad sebou; obě hlavně brokové.
Palná zbraň - kombinovaná zbraň je,"lovecká dlouhá zbraň se dvěma a více hlavněmi; hlavně mají různý vývrt,"
Palná zbraň - kulobroková kozlice je,"zbraň se dvěma hlavněmi nad sebou; kulovou a brokovou hlavní bez ohledu na jejich vzájemnou polohu,"
Palná zbraň - kulovnice je,"jednohlavňová lovecká dlouhá zbraň s drážkovaným vývrtem určená pro střelbu kulovými náboji,"
Palná zbraň - dvoják je,lovecká dlouhá zbraň se dvěma kulovými hlavněmi vedle sebe.
Palná zbraň - kulová kozlice je,"lovecká dlouhá zbraň se dvěma kulovými hlavněmi nad sebou,"
"Podle České technické normy se za malorážku považuje palná zbraň, kterou je","dlouhá zbraň s drážkovaným vývrtem pro kulový náboj ráže .22 (5,6 mm) s okrajovým zápalem."
Palná zbraň - flobertka je,"krátká nebo dlouhá jednohlavňová nebo vícehlavňová zbraň určená pro náboje typu Flobert,"
Palná zbraň - pistole je,"krátká zbraň s pevnou nebo pohyblivou hlavní s nábojovou komorou; jednoranová, opakovací nebo samonabíjecí (popřípadě vícehlavňová)."
Palná zbraň - revolver je,"krátká zbraň s pevnou hlavní a otáčivým válcem s nábojovými komorami, které se mezi jednotlivými výstřely natáčejí do osy vývrtu hlavně,"
Ráže palné zbraně pro kulový náboj je,"vyjádřena některými nebo všemi údaji: smluvní velikostí průměru vodicí části vývrtu hlavně, technickým popisem nábojové komory, technickým popisem použitelného náboje, doplňkovými označeními,"
Zahrdlení je úprava,"úsťové části brokové hlavně ovlivňující velikost a charakter krytí,"
Ráže palné zbraně pro brokový náboj je,"smluvní označení, ke kterému přísluší technický popis náboje a vývrtu hlavně dané ráže nábojové komory."
Střelivo se podle zápalu dělí na,střelivo s elektrickým nebo mechanickým zápalem.
Střelivo s mechanickým zápalem se dělí na střelivo,"s okrajovým zápalem, středovým zápalem nebo se zápalem Lefaucheux."
Školní náboj je náboj,"bez výmetné náplně a zápalky, který rozměrově odpovídá skutečnému náboji: slouží pro výuku a výcvik v nabíjení a spouštění zbraně a pro kontrolu funkce zásobníku, závěru a spušťadla,"
Náboj typu Flobert je náboj,"s okrajovým zápalem; má střelu jednotnou nebo hromadnou, obvykle v rážích 4 mm, 6 mm nebo 9 mm."
U perkusního zámku se iniciace výmetné náplně vyvozuje,"úderem kladívka (kohoutu) na perkusní zápalku,"
Záměrná je,přímka spojující mířidla zamířené zbraně a záměrný bod na cíli.
Maximální dostřel je,"největší dosažitelný dostřel při střelbě z určité zbraně s určitým druhem náboje,"
"Maximální dostřel při výstřelu z pistole ráže 9 mm Luger nebo jiné srovnatelné ráže, při použití standardního střeliva, může činit","i více než 1,5 km, přičemž střela je schopná způsobit člověku vážné či smrtelné poranění po více než polovinu dráhy svého letu,"
"Maximální dostřel při výstřelu z dlouhé kulové zbraně ráže 308 Winchester nebo srovnatelné ráže, při použití standardního střeliva, může činit přibližně","až 4 km, přičemž střela může způsobit vážnou újmu na zdraví po celé své dráze letu,"
"Maximální dostřel při výstřelu z dlouhé kulové zbraně ráže 22 Long Rifle, při použití standardního střeliva, může činit","více než 1,5 km. Střela může způsobit vážnou újmu na zdraví po více než polovinu dráhy svého letu,"
"Maximální dostřel při výstřelu hromadné střely (broky o velikosti 2,4 mm až 3,5 mm) z dlouhé brokové zbraně ráže 12 nebo 16 činí přibližně","stovky metrů. Hodnotu maximálního dostřelu v metrech lze přibližně určit jako stonásobek průměru broku v milimetrech (tzn. např. přibližně 250 m v případě broků velikosti 2,4 mm),"
Účinný dostřel je,"největší vzdálenost od zbraně, na níž lze efektivně vyřadit mířenou střelbou zvolený cíl,"
Krytí brokovnice je,"poměr počtu zásahů broků v kruhovém zkušebním terči v určené vzdálenosti od ústí zbraně k celkovému počtu broků v náboji, vyjádřený v procentech,"
Ranivý účinek je,"ničivý účinek střel na živé cíle, jehož výsledkem je vznik střelných poranění,"
Průbojný účinek je,ničivý účinek střely spočívající v pronikání střely cílem.
Střelnice je komplex zařízení a prostorů určených,"pro střelbu,"
Střelecké stanoviště je,"přesně určené místo, popřípadě ohrazené, z něhož se střílí,"
"Palebná čára je čára, která omezuje střelecká stanoviště směrem","k terčové čáře,"
"Cílový prostor je prostor, kde",je umístěn terč a terčová zařízení.
"Bezpečný prostor je prostor střelnice, který","není při střelbě ohrožen při dodržení bezpečnostních pravidel platných pro danou střelnici,"
"Ohrožený prostor je prostor střelnice, kde","lze předpokládat přímý dopad střel (primární ohrožený prostor) nebo střel a jejich částí po odrazu (sekundární ohrožený prostor) při dodržení bezpečnostních pravidel platných pro danou střelnici,"
Terčové zařízení je zařízení sloužící,"k umístění a případnému pohybu terčů,"
Nástřelná série je,"série sloužící k ověření nastřelení a funkce zbraně zpravidla před soutěží,"
Vydutí hlavně je,"místní zvětšení průměru hlavně způsobené při výstřelu,"
"V případě značného znečištění hlavně nebo je-li v hlavni jiná cizí překážka (např. způsobená nechtěným nabráním hlíny do vývrtu hlavně), hrozí při výstřelu","vydutí nebo roztržení hlavně a případně další destrukce zbraně s možností vážného zranění střelce nebo v okolí se nacházejících osob,"
Dva různými směry současně vržené asfaltové terče se nazývají,"dvojterč,"
"Terč definovaných rozměrů, hmotnosti a barvy, používaný pro brokové disciplíny, vrhaný vrhacím zařízením se nazývá",asfaltový terč (letící terč).
Zápalka je,"součást náboje obsahující zápalkovou slož, která se nárazem nebo jiným způsobem vznítí a zažehne výmetnou náplň,"
Ke střelbě ze zbraně v dobrém technickém stavu lze bezpečně použít,"střelivo ráže a případně též konkrétního výrobního provedení, pro které je zbraň určena a které je vyznačeno na zbrani,"
Kulové střelivo s výrazně zdeformovanou střelou nebo střelou pokrytou např. rzí,"by nemělo být použito ke střelbě, protože může způsobit poškození, případně i havárii zbraně,"
Střelivo může být použito ke střelbě,"ze zbraně, která je pro takové střelivo určena, a pouze v případě, že je jak střelivo, tak i zbraň v dobrém technickém stavu,"
Za jednu ze zásad bezpečného zacházení se zbraní a střelivem lze považovat následující tezi:,"S každou zbraní je na místě zacházet, jakoby byla nabitá; zejména není přípustné „jen tak“ mířit na jiného člověka, a to i se zbraní, o níž jsme přesvědčeni, že nabitá není,"
Za jednu ze zásad bezpečného zacházení se zbraní a střelivem lze považovat následující tezi:,"Střílet ze zbraně je možné pouze v případě, že víme, na co střílíme, uvědomujeme si, kam dále může střela letět v případě průstřelu cíle nebo jiné překážky, a zohledníme riziko odrazu střely,"
Za jednu ze zásad bezpečného zacházení se zbraní a střelivem lze považovat následující tezi:,"Se zbraní lze střílet pouze tehdy, pokud je v dobrém technickém stavu; při každém pravidelném čištění zbraně a pokud možno před každou střelbou je proto na místě alespoň zběžná prohlídka zbraně, nevykazuje-li defekty (vydutí hlavně, cizí předměty v hlavni, prasklé součásti), které by bezpečné použití zbraně ke střelbě vylučovaly,"
Za jednu ze zásad bezpečného zacházení se zbraní a střelivem lze považovat následující tezi:,"Než zbraň odložíme nebo uložíme, vždy je nutné se přesvědčit, že není nabitá a případně provést její vybití,"
Za jednu ze zásad bezpečného zacházení se zbraní a střelivem lze považovat následující tezi:,"Při střelbě je potřeba použít ochranu sluchu a zraku, pokud je to možné,"
Za jednu ze zásad bezpečného zacházení se zbraní a střelivem lze považovat následující tezi:,"Nošení zbraně je komplexní problematika; zejména je třeba zohledňovat platná právní pravidla, nosit krátkou zbraň v odpovídajícím pouzdře a volit oděv tak, aby umožňoval bezpečné nošení zbraně; dlouhou zbraň je na místě nosit vždy buď zajištěnou, a není-li vybavena spolehlivou manuální pojistkou nebo obdobným mechanismem, tak ji nosit bez náboje v nábojové komoře,"
Při popálení nebo opaření malé plochy postižené místo,"poléváme chladnou vodou, dokud chlazení přináší úlevu, pak zakryjeme co nejčistší tkaninou,"
Při polití kyselinou nebo louhem postižené místo,poléváme co největším množstvím vody.
Při kolapsu (mdlobě) postiženého,"uložíme do polohy na záda, zvedneme dolní končetiny, zajistíme přívod čerstvého vzduchu, dáváme studené obklady na čelo,"
"Šok je závažný chorobný stav, se kterým se můžeme setkat","u všech závažných úrazových, ale i neúrazových stavů."
V rámci protišokových opatření při úrazu provádíme,"stavění krvácení, zajištění psychického klidu, ochranu před prochlazením nebo přehřátím, znehybnění zlomenin,"
Při tepenném krvácení na končetině přiložíme škrtidlo,"nad ránou, to je blíže k srdci,"
Při tepenném krvácení menšího rozsahu na končetině přiložíme,"tlakový obvaz,"
Je-li dýchání z plic do plic neúčinné,zdokonalíme záklon hlavy.
Při bezvědomí,"zjistíme stav dýchání - dýchá-li postižený pravidelně, orientačně ho vyšetříme a trvale sledujeme do příjezdu záchranné služby,"
Při dýchání z plic do plic,"provádíme vždy dva vdechy po sobě; hloubka vdechu by měla být taková, aby se hrudník postiženého viditelně zvedal,"
Zevní masáž srdce při resuscitaci provádíme,"stlačováním hrudníku uprostřed hrudní kosti dlaňovou hranou jedné ruky, druhá ruka je shora přiložena na hřbet ruky spodní, frekvencí 100 - 120krát za minutu,"
Při poranění páteře transport poraněného,"je možný jen na tvrdé rovné podložce,"
Při žilním krvácení většího rozsahu,"přiložíme přímo na ránu tlakový obvaz,"
"Při tepenném krvácení na krku, v oblasti klíční kosti nebo v podpažní jamce zastavujeme krvácení",tlakem prstu přímo v ráně.
Cizí těleso,"z rány můžeme vyjmout, jen pokud to jde zcela volně; ránu poté ošetříme běžným způsobem,"
Stabilizovaná poloha je,"na boku, s pokrčenou spodní dolní končetinou, horní paže je podložena pod obličejem a spodní paže je v mírném zapažení za tělem."
Při prudkém zevním krvácení je nejdůležitější,"okamžité stavění krvácení přímým tlakem prstů v ráně, pak si rozmyslíme další postup,"
Krvácení z nosu ošetříme,"stlačením nosních dírek prsty a předklonem hlavy, případně přikládáním studených obkladů na zátylek,"
Otevřenou zlomeninu končetiny,"ošetříme přiložením obvazu na ránu a končetinu znehybníme v poloze, v jaké se nachází."
"Při zavřeném poranění břicha, kdy je poraněný při vědomí","uložíme poraněného do polohy na zádech nebo na bok, cítí-li se tak lépe,"
Zlomeninu horní končetiny ošetříme přiložením,"dlahy a provedeme závěs, nejlépe šátkem."
Zlomeninu dolní končetiny ošetříme přiložením,"dlahy přes oblečenou končetinu, se znehybněním sousedních kloubů,"
První pomoc je povinen poskytnout,"každý, kdo tak může učinit bez nebezpečí pro sebe nebo jiného,"
Při střelném poranění,je při prvním ošetření riziko infekce málo podstatné; snažíme se pouze zastavit krvácení a u končetin provést znehybnění.
"Při střelném poranění hrudníku, kdy je poraněný při vědomí, přiložíme na ránu","poloprodyšný obvaz, poraněného uložíme do polohy v polosedě, sledujeme jeho stav,"
"Při střelném poranění břicha, kdy je poraněný při vědomí,","na ránu přiložíme obvaz, případně vyhřezlé kličky střevní se nesnažíme nikdy vrátit zpět, poraněného uložíme v poloze na zádech s podloženými koleny, nesmí nic jíst ani pít,"
Při střelném poranění končetiny poraněnému,"přiložíme tlakový obvaz, při větším tepenném krvácení zaškrtíme tepnu nad ránou,"
Při poskytování první pomoci je nutné nejdříve,"zastavit velké tepenné krvácení a uvolnit dýchací cesty,"
"Zlomeninu znehybňujeme přiložením dlahy tak, aby","znehybňovala kloub nad a pod zlomeninou,"
"Tlakový bod je místo, ve kterém lze stisknout tepnu",proti kosti.
Podezření na poranění míchy vyvolává,"ztráta hybnosti a citlivosti končetin,"
"Žilní krvácení poznáme podle toho, že krev je","tmavá a teče z rány bez pulzace,"
Po zahájení resuscitace je nejdůležitější,"resuscitaci nepřerušovat do příjezdu ZZS, obnovení dýchání či vědomí nebo vlastního vyčerpání,"
Autotransfúzní poloha se provádí,"uložením pacienta do polohy na zádech se zvednutými dolními končetinami,"
Záchranná služba má telefonní číslo,"155,"
Při kolapsu (mdlobě) je zajištění odborné pomoci nutné,"nedojde-li k rychlé úpravě stavu,"
Mezi protišoková opatření nepatří,podání energeticky bohaté stravy.
Při poranění oka úlomkem kovu při střelbě,"oko nedráždíme, úlomek nevyndáváme, obě oči překryjeme sterilním obvazem a postiženého dopravíme co nejrychleji k lékaři,"
